[2021-09-10 03:03:00,619], ## Epoch 173/500 Loss:22.276, MAE:76.03, MSE:109.31, Best MAE:68.05
[2021-09-10 03:09:02,585], ## Epoch 174/500 Loss:20.312, MAE:78.34, MSE:114.66, Best MAE:68.05
[2021-09-10 03:15:09,061], ## Epoch 175/500 Loss:19.533, MAE:71.24, MSE:104.05, Best MAE:68.05
[2021-09-10 03:21:12,661], ## Epoch 176/500 Loss:18.802, MAE:72.75, MSE:104.97, Best MAE:68.05
[2021-09-10 03:27:13,814], ## Epoch 177/500 Loss:21.080, MAE:76.82, MSE:111.26, Best MAE:68.05
[2021-09-10 03:33:19,865], ## Epoch 178/500 Loss:24.000, MAE:88.49, MSE:124.51, Best MAE:68.05
[2021-09-10 03:39:23,069], ## Epoch 179/500 Loss:20.213, MAE:70.79, MSE:102.11, Best MAE:68.05
[2021-09-10 03:45:25,384], ## Epoch 180/500 Loss:18.973, MAE:95.43, MSE:130.45, Best MAE:68.05
[2021-09-10 03:51:30,084], ## Epoch 181/500 Loss:17.963, MAE:88.67, MSE:129.79, Best MAE:68.05
[2021-09-10 03:57:30,560], ## Epoch 182/500 Loss:19.369, MAE:106.85, MSE:154.49, Best MAE:68.05
[2021-09-10 04:03:33,890], ## Epoch 183/500 Loss:21.232, MAE:104.57, MSE:149.17, Best MAE:68.05
[2021-09-10 04:09:35,702], ## Epoch 184/500 Loss:20.996, MAE:80.45, MSE:131.05, Best MAE:68.05
[2021-09-10 04:15:39,014], ## Epoch 185/500 Loss:20.761, MAE:86.28, MSE:127.42, Best MAE:68.05
[2021-09-10 04:21:41,558], ## Epoch 186/500 Loss:19.691, MAE:72.58, MSE:106.42, Best MAE:68.05
[2021-09-10 04:27:45,114], ## Epoch 187/500 Loss:19.484, MAE:82.75, MSE:115.81, Best MAE:68.05
[2021-09-10 04:33:46,360], ## Epoch 188/500 Loss:21.198, MAE:96.40, MSE:136.22, Best MAE:68.05
[2021-09-10 04:39:49,133], ## Epoch 189/500 Loss:18.466, MAE:95.00, MSE:134.42, Best MAE:68.05
[2021-09-10 04:45:50,005], ## Epoch 190/500 Loss:19.587, MAE:70.65, MSE:103.70, Best MAE:68.05
[2021-09-10 04:51:54,622], ## Epoch 191/500 Loss:22.221, MAE:71.54, MSE:116.33, Best MAE:68.05
[2021-09-10 04:57:58,693], ## Epoch 192/500 Loss:18.032, MAE:104.36, MSE:153.16, Best MAE:68.05
[2021-09-10 05:04:00,858], ## Epoch 193/500 Loss:20.720, MAE:76.43, MSE:112.24, Best MAE:68.05
[2021-09-10 05:10:03,974], ## Epoch 194/500 Loss:19.639, MAE:84.84, MSE:120.86, Best MAE:68.05
[2021-09-10 05:16:05,033], ## Epoch 195/500 Loss:18.833, MAE:76.93, MSE:113.65, Best MAE:68.05
[2021-09-10 05:22:05,261], ## Epoch 196/500 Loss:19.440, MAE:67.74, MSE:100.09, Best MAE:68.05
[2021-09-10 05:28:08,478], ## Epoch 197/500 Loss:19.562, MAE:74.09, MSE:107.80, Best MAE:67.74
[2021-09-10 05:34:11,501], ## Epoch 198/500 Loss:20.063, MAE:69.62, MSE:107.98, Best MAE:67.74
[2021-09-10 05:40:11,750], ## Epoch 199/500 Loss:19.516, MAE:86.36, MSE:124.62, Best MAE:67.74
[2021-09-10 05:46:14,621], ## Epoch 200/500 Loss:18.099, MAE:71.98, MSE:104.75, Best MAE:67.74
[2021-09-10 05:52:16,512], ## Epoch 201/500 Loss:18.696, MAE:69.93, MSE:110.52, Best MAE:67.74
[2021-09-10 05:58:16,265], ## Epoch 202/500 Loss:18.556, MAE:67.77, MSE:104.27, Best MAE:67.74
[2021-09-10 06:04:20,487], ## Epoch 203/500 Loss:20.401, MAE:104.21, MSE:148.68, Best MAE:67.74
[2021-09-10 06:10:20,717], ## Epoch 204/500 Loss:17.964, MAE:78.60, MSE:112.59, Best MAE:67.74
[2021-09-10 06:16:23,705], ## Epoch 205/500 Loss:16.719, MAE:77.93, MSE:109.28, Best MAE:67.74
[2021-09-10 06:22:25,772], ## Epoch 206/500 Loss:17.660, MAE:84.77, MSE:123.28, Best MAE:67.74
[2021-09-10 06:28:28,069], ## Epoch 207/500 Loss:19.748, MAE:91.08, MSE:126.66, Best MAE:67.74
[2021-09-10 06:34:30,274], ## Epoch 208/500 Loss:21.612, MAE:73.87, MSE:105.32, Best MAE:67.74
[2021-09-10 06:40:34,548], ## Epoch 209/500 Loss:20.094, MAE:70.47, MSE:105.05, Best MAE:67.74
[2021-09-10 06:46:39,250], ## Epoch 210/500 Loss:19.102, MAE:85.64, MSE:120.11, Best MAE:67.74
[2021-09-10 06:52:41,606], ## Epoch 211/500 Loss:19.370, MAE:73.78, MSE:104.11, Best MAE:67.74
[2021-09-10 06:58:43,288], ## Epoch 212/500 Loss:19.114, MAE:83.68, MSE:120.60, Best MAE:67.74
[2021-09-10 07:04:43,622], ## Epoch 213/500 Loss:18.494, MAE:76.16, MSE:111.90, Best MAE:67.74
[2021-09-10 07:10:49,181], ## Epoch 214/500 Loss:20.684, MAE:71.19, MSE:106.66, Best MAE:67.74
[2021-09-10 07:16:50,237], ## Epoch 215/500 Loss:20.800, MAE:70.53, MSE:115.73, Best MAE:67.74
[2021-09-10 07:22:52,071], ## Epoch 216/500 Loss:19.620, MAE:88.57, MSE:129.75, Best MAE:67.74
[2021-09-10 07:28:54,653], ## Epoch 217/500 Loss:16.752, MAE:63.72, MSE:98.28, Best MAE:67.74
[2021-09-10 07:34:59,367], ## Epoch 218/500 Loss:18.921, MAE:71.00, MSE:106.32, Best MAE:63.72
[2021-09-10 07:41:01,093], ## Epoch 219/500 Loss:18.229, MAE:72.71, MSE:106.67, Best MAE:63.72
[2021-09-10 07:47:03,821], ## Epoch 220/500 Loss:18.666, MAE:73.36, MSE:106.64, Best MAE:63.72
[2021-09-10 07:53:07,812], ## Epoch 221/500 Loss:19.424, MAE:68.47, MSE:101.24, Best MAE:63.72
[2021-09-10 07:59:11,175], ## Epoch 222/500 Loss:19.805, MAE:81.77, MSE:117.20, Best MAE:63.72
[2021-09-10 08:05:14,150], ## Epoch 223/500 Loss:19.512, MAE:72.07, MSE:108.78, Best MAE:63.72
[2021-09-10 08:11:16,127], ## Epoch 224/500 Loss:20.327, MAE:100.13, MSE:144.61, Best MAE:63.72
[2021-09-10 08:17:20,058], ## Epoch 225/500 Loss:20.065, MAE:80.63, MSE:118.63, Best MAE:63.72
[2021-09-10 08:23:21,929], ## Epoch 226/500 Loss:18.278, MAE:69.44, MSE:109.05, Best MAE:63.72
[2021-09-10 08:29:22,749], ## Epoch 227/500 Loss:18.678, MAE:87.80, MSE:131.05, Best MAE:63.72
[2021-09-10 08:35:23,945], ## Epoch 228/500 Loss:19.480, MAE:91.34, MSE:126.96, Best MAE:63.72
[2021-09-10 08:41:25,476], ## Epoch 229/500 Loss:17.155, MAE:66.76, MSE:97.90, Best MAE:63.72
